@relation textClassifier

@attribute textClassifier {btp, commercial, informatique, tourisme}
@attribute text String

@data
btp,'Dans le cadre d une création de poste nous cherchons un/une Conducteur de Travaux expérimenté(e) en Fermeture du Bâtiment (menuiseries Aluminium PVC et bois) pour assurer la responsabilité technique administrative et financière des chantiers dont il aura la charge. En lien avec les commerciaux vous récupérez les dossiers travaux et devenez le garant des délais de la qualité et de la sécurité du chantier : définition des moyens organisation des chantiers suivi des réunions de chantiers suivi du bon déroulement des procédures et des méthodes de pose contrôle de l utilisation des équipements de protection individuels contrôle des vêtements de travail et de l attitude générale des équipes contrôle de l état de l outillage assistance et permanence technique sur site lors des chantiers délicats . Vous entretenez un relationnel client avant et pendant les chantiers de pose. Vous suivez les encaissements et assurez la livraison des travaux avec rendus des documentations techniques clés et badges et recueillez les questionnaires de satisfaction clients. Vous n hésitez pas à échanger sur les problèmes rencontrés les satisfactions les produits et les détections de besoins à venir. En lien direct avec les fournisseurs vous définissez les besoins en outils et consommables et échangez avec eux des retours chantiers litiges malfaçons garanties et problèmes rencontrés. Véritable cadre de l entreprise vous veillez au bon état général des véhicules effectuez des contrôles mensuels de la flotte et suggérez des améliorations des équipements. Vous êtes à l écoute des besoins en formation de vos équipes. De formation technique Bac+2 à Bac+5 vous bénéficiez d une expérience réussie de 10 ans minimum sur un poste similaire et maitrisez des connaissances techniques liées à la fermeture du bâtiment et menuiseries extérieures et intérieures. Vous utilisez l informatique et les logiciels de bureautique (Word Excel Outlook PowerPoint). La maitrise du logiciel PRO DEVIS est souhaitée. AUTOCAD est un plus. Doté(e) de bon sens et de logique vous êtes avant autonome organisé(e) rigoureux(se) et avez de fortes aptitudes à manager. Poste à pourvoir en CDI dans les Alpes Maritimes Statut Etam ou Cadre selon profil (convention collective du bâtiment). 2800 à 3500€ brut/mois sur 12 mois. Prime d intéressement annuelle. Véhicule de service téléphone ordinateur portables mutuelle entreprise. RHELLO cabinet de conseil en recrutement recrute pour son client : PME à taille humaine spécialisée dans la pose et le dépannage d installations de fermeture du bâtiment (portails portes d entrées et de garages volets clôtures en menuiserie aluminium PVC bois contrôles d accès et automatismes…) pour une clientèle de particuliers et de professionnels.'
btp,'LTD recherche pour le compte d un groupe de Travaux Publics un chef de chantier TP/VRD H/F : Vous interviendrez sur des chantiers de rond point de piste cyclable ou encore de lotissement en VRD. Sous la responsabilité du conducteur de travaux votre rôle sera de faire et faire faire les travaux ainsi que d’organiser les équipes d’ouvrier. Vous serez en charge de : Faire les travaux demandé par le conducteur de travaux Gérer l’approvisionnement du chantier Distribuer les taches et gérer le travail des ouvriers Récupérer les informations du conducteur de travaux et les transmettre aux ouvriers Effectuer des rapports de chantier Maitrise du Pack Office et d’AutoCad souhaitée. Formation de type Bac+2 à Bac+3 type BTS IUT ou DUT. Première expérience de chef de chantier obligatoire. Société incontournable sur le marché du recrutement français LTd International est un Cabinet de Recrutement et une Agence de Travail Temporaire spécialisé dans les métiers d’Ingénierie et d’encadrement de chantier BTP.'
btp,'En équipe et sous la responsabilité du directeur vous aurez la responsabilité de chantiers en gros oeuvre. Vous aurez à conduire la réalisation des opérations dans le respect des attentes du client tout en défendant les intérêts de la société que vous représenterez.(délais/coûts) Vous serez l interlocuteur principal des sous traitants partenaires. Vous aurez en charge le gros oeuvre des différents chantiers. Diplômé d une formation de type bac+5 en travaux publics vous justifiez d une expérience de 3 à 4 ans en tant que Conducteur de travaux gros œuvre. Vous maîtrisez le monde des travaux et avez une bonne expérience. POSTE A POURVOIR EN INTERIM VUE D’UNE EMBAUCHE EN CDI pour candidat tenace motivé voulant mettre en exergue ses compétences. Permis de conduire indispensable AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement en encadrement de travaux Bureau d Etudes et Tertiaire. Nous recherchons pour l un de nos clients une entreprise à taille humaine : UN CONDUCTEUR DE TRAVAUX GROS OEUVRE (H/F)'
btp,'Recrutons 1 chauffeur TP ayant une première expérience réussie conduite en bennes TP 4 4x2 6x4 8x4 ou camion toupie ou camion ampliroll. Vous etes titulaire du permis C (permis EC souhaité mais non exigé) + documents chauffeurs à jour (permis + carte de qualification/FIMO/FCO + carte conducteur facultative) Livraison/ approvisionnement chantiers/carrières en tous venants enrobées graviers vous pouvez être amené à descendre ponctuellement du camion pour aider les ouvriers VRD TP aux travaux au sol. Postuler par e mail à (e mail caché) Expérience exigée en conduite de camion bennes 4 roues toupie ampliroll ou semi bennes ou multi bennes TP vous êtes libre sur du long terme. Prise de poste à St Jean de Bournay 38. Indemnité panier repas 9.47E/jour travaillé + indemnité zones de chantier 1 à 5 (variables entre 1 et 14e/jour selon zones chantiers ) sur 41h30 travaillées hebdomadaire. Intérim CDD CDI'
btp,'Au sein de l entreprise vous serez intégré(e) à l équipe vous serez en charge de: Réglementation Consignes à mettre en place Suivi des consignes sur les chantiers Mise en place développement et suivi du service QSE Ce poste est à pourvoir dès que possible pour tout candidat motivé et autonome. Une mobilité nationale est à prévoir dans le cadre de ce poste; De formation BAC + 2 dans le secteur de la Construction ou Travaux Publics. Une expérience et connaissance du BTP est nécessaire pour ce poste. AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement en Encadrement de travaux et Bureau d Etudes et tertiaire. Nous recherchons pour l un de nos clients une société de grande ampleur INGENIEUR QSE (H/F)'
btp,'Rattaché au service Travaux vous coordonnez la réalisation des travaux confiés par les Collectivités membres du syndicat. Vous assurez le suivi technique des chantiers et veillez à la qualité des travaux réalisés au regard des prescriptions techniques et dans le respect des engagements en termes de sécurité qualité et efficacité. Vous encadrez une équipe de 20 collaborateurs dont 5 chefs d équipe et 1 chef d atelier. Vous organisez les chantiers (programmation planification affectation des équipes) et leur approvisionnement assurez les relations et les négociations avec les fournisseurs les sous traitants et les concessionnaires de réseaux et êtes garant des règles de sécurité. Par votre présence sur le terrain vous êtes en relation avec les administrés et les élus auxquels vous apportez conseils et réponses aux problématiques rencontrées et vous contribuez au maintien de l image du SIMER. Vous supervisez en collaboration avec votre chef d atelier la maintenance des véhicules et des engins de chantier. Vous menez les réunions de chantier assurez la réception des travaux et rendez compte auprès de votre direction et des élus des résultats obtenus. En collaboration étroite avec le bureau d études et le service voirie vous participez au contrôle et suivi économique de vos opérations. Vous accompagnez vos collaborateurs dans l appropriation des changements veillez au maintien d un bon climat social et assurez un reporting efficient auprès de votre direction. Pour mener à bien votre mission vous bénéficiez de l appui de nos services support (RH finances…). De formation supérieure en BTP vous disposez d une expérience dans la conduite de travaux BTP l encadrement d équipe et idéalement la relation avec les Collectivités. Manager de dialogue vous savez fédérer vos équipes faire preuve d autonomie de disponibilité de rigueur d écoute et de fermeté. Vous disposez de qualités relationnelles de communication et de diplomatie qui vous amènent à collaborer aisément avec les équipes en interne et avec vos différents interlocuteurs externes. Vous avez le sens de l organisation et la culture du résultat afin d accompagner efficacement notre développement. Le poste est situé à Montmorillon (86). MULTICIBLES conseil en recrutement et RH depuis 1985 recrute pour l un de ses clients situé à Montmorillon le SIMER (150 agents) Etablissement public qui agit sur un territoire regroupant 160 communes et 200 000 habitants. Le SIMER met en commun les moyens permettant de relever les défis en matière de collecte et traitement des déchets et de travaux publics (aménagement des espaces publics entretien de la voirie) des territoires concernés. Attentif à adapter ses compétences aux projets du territoire le SIMER s attache à proposer une expertise répondant aux besoins de ses adhérents et dans ce cadre étoffe son équipe Travaux. CONDUCTEUR DE TRAVAUX (H/F)'
btp,'Véritable ambassadeur de l’enseigne et en relation étroite avec le directeur de la région vous animez et coordonnez l’activité de l agence en terme de management d’organisation et de gestion. Vous construirez la politique commerciale de l agence avec pour objectif le développement des ventes de sa croissance et de sa profitabilité. Vous êtes également garant de la cohésion au sein de votre agence en manageant une équipe d’environ 10 personnes. De formation supérieure vous justifiez d une expérience concluante dans la gestion d un centre de profit dans le négoce de matériaux. Véritable commercant vous appréciez le contact clientèle. Meneur d’hommes vous savez faire adhérer vos collaborateurs à vos objectifs. Vos connaissances du négoce vous permettent de vous intégrer rapidement et efficacement. Homme ou femme de terrain vos aptitudes relationnelles ainsi que votre sens de la négociation et du client sont des atouts majeurs pour réussir dans cette fonction. PARTEDIS est un des tout premier réseau indépendant de produits du bâtiment. Une de ses activités spécialisée dans le négoce de bois et de matériaux de construction recherche pour son agence de St Brieuc (22) spécialisée dans la couverture un Directeur d agence (H/F).'
btp,'Rattaché(e) au chargé d affaires vous travaillerez sur des projets de fondations spéciales en appel d offre et en phase d exécution : Plans de fondations Etudes de méthodes sur Autocad 2D Modélisations sur Autocad 3D Assistance technique aux chantiers. De formation minimum technicien Bac+2/3 BTP (IUT BTS AFPA LICENCE) en génie civil ou équivalent vous disposez idéalement d une première expérience sur un poste équivalent. Maîtrise d Autocad 2D impératif Revit est un plus.'
btp,'INTERN?M agence d emploi basée sur Nîmes recrute pour l un de nos clients un CHEF D EQUIPE TP RESEAUX SECS (H/F) sous contrat de mission temporaire. Notre client est spécialisé dans les travaux de terrassements et est actif depuis plus de 10 ans sur le territoire Nîmois. Vos missions consisteront à : Manager 2 à 3 compagnons Lectures de plans Terrassements Travaux VRD Travaux de maçonnerie Vous disposez d une expérience de minimum 3 ans sur un poste similaire. Vous avez le goût du travail en équipe et aimez diriger. On vous apprécie pour vos compétences relationnelles et professionnelles. Vous êtes mobile au niveau régional. INTERN?M agence d emploi basée sur Nîmes recrute pour l un de nos clients un CHEF D EQUIPE TP RESEAUX SECS (H/F) sous contrat de mission temporaire.'
btp,'CRIT Tertiaire recherche pour l un de ses clients situé à Wambrechies: Un Comptable Clients H/F Au sein d une grande entreprise de BTP vous intégrez le service comptabilité en tant que Comptable Client. Vous aurez pour missions : Contrôle et validation de factures par rapport aux commandes établies Relance des impayées Facturation à clients Rapprochement Idéalement issue d un BAC+2 vous avez des compétences dans le domaine de la comptabilité clients et savez prendre des décisions sur la suite à donner à la problématique rencontrée. Une expérience dans le BTP sera appréciée ! Mais surtout vous êtes rigoureux et dynamique. Le poste est à pourvoir de suite sur WAMBRECHIES jusque fin d année. Pour postuler merci d envoyer un CV à l adresse suivante: (e mail caché) Vous recherchez un emploi en CDI CDD ou en intérim ? CRIT recrute chaque année des milliers de profils dans les métiers de l Industrie Transport BTP ou Services pour ses 29 000 clients. + de 5000 offres d emploi partout en France sur www.crit job.com'
btp,'Acteur des ressources humaines depuis 1952 le Groupe Partnaire vous propose une offre globale au service de la gestion de vos ressources humaines. Notre agence PARTNAIRE acteur dans le recrutement intérim et permanent recherche pour l un de ses clients spécialisé dans le génie climatique UN DESSINATEUR PROJETEUR H/F sur Villeurbanne. Au sein d un bureau d études vous serez en charge de la réalisation de plans d implantation de ventilation sur le logiciel AUTOCAD. Vos missions seront : • Réunir les données techniques pour la réalisation des plans • Identifier les contraintes dimensionnelles fonctionnelles et physiques • Déterminer des solutions de constructions d installations et d aménagements • Réaliser ou modifier les schémas les épures les plans d implantation selon les normes et les évolutions de contraintes • Concevoir les nomenclatures des schémas et plans • Apporter un appui technique au bureau d études Profil : Vous êtes titulaire d un Bac+2/3 à dominante bâtiment / travaux publics et/ou génie climatique / génie mécanique Vous maitrisez le logiciel AUTOCAD 2D et avez une première expérience réussie dans le CVC. La connaissance de REVIT en CVC est un plus. Anglais lu/écrit souhaité bases indispensables Vous êtes motivé et dynamique et cherchez à vous investir sur du long terme. Poste à pourvoir dès octobre – Longue mission Horaires de journée Salaire en fonction de l expérience – Tickets restaurants Poste basé à Villeurbanne accessible en transport en commun AGENCE D EMPLOI Acteur des ressources humaines depuis 1952 le Groupe Partnaire vous propose une offre globale au service de la gestion de vos ressources humaines.'
btp,'Dans le cadre d une création de poste nous cherchons un/une Conducteur de Travaux expérimenté(e) en Fermeture du Bâtiment (menuiseries Aluminium PVC et bois) pour assurer la responsabilité technique administrative et financière des chantiers dont il aura la charge. En lien avec les commerciaux vous récupérez les dossiers travaux et devenez le garant des délais de la qualité et de la sécurité du chantier : définition des moyens organisation des chantiers suivi des réunions de chantiers suivi du bon déroulement des procédures et des méthodes de pose contrôle de l utilisation des équipements de protection individuels contrôle des vêtements de travail et de l attitude générale des équipes contrôle de l état de l outillage assistance et permanence technique sur site lors des chantiers délicats . Vous entretenez un relationnel client avant et pendant les chantiers de pose. Vous suivez les encaissements et assurez la livraison des travaux avec rendus des documentations techniques clés et badges et recueillez les questionnaires de satisfaction clients. Vous n hésitez pas à échanger sur les problèmes rencontrés les satisfactions les produits et les détections de besoins à venir. En lien direct avec les fournisseurs vous définissez les besoins en outils et consommables et échangez avec eux des retours chantiers litiges malfaçons garanties et problèmes rencontrés. Véritable cadre de l entreprise vous veillez au bon état général des véhicules effectuez des contrôles mensuels de la flotte et suggérez des améliorations des équipements. Vous êtes à l écoute des besoins en formation de vos équipes. De formation technique Bac+2 à Bac+5 vous bénéficiez d une expérience réussie de 10 ans minimum sur un poste similaire et maitrisez des connaissances techniques liées à la fermeture du bâtiment et menuiseries extérieures et intérieures. Vous utilisez l informatique et les logiciels de bureautique (Word Excel Outlook PowerPoint). La maitrise du logiciel PRO DEVIS est souhaitée. AUTOCAD est un plus. Doté(e) de bon sens et de logique vous êtes avant autonome organisé(e) rigoureux(se) et avez de fortes aptitudes à manager. Poste à pourvoir en CDI dans les Alpes Maritimes Statut Etam ou Cadre selon profil (convention collective du bâtiment). 2800 à 3500€ brut/mois sur 12 mois. Prime d intéressement annuelle. Véhicule de service téléphone ordinateur portables mutuelle entreprise. RHELLO cabinet de conseil en recrutement recrute pour son client : PME à taille humaine spécialisée dans la pose et le dépannage d installations de fermeture du bâtiment (portails portes d entrées et de garages volets clôtures en menuiserie aluminium PVC bois contrôles d accès et automatismes…) pour une clientèle de particuliers et de professionnels.'
btp,'GERLAND INTERIM recherche pour l un de ses clients basé situé sur la région lyonnaise des ETANCHEURS H/ F avec : visite médicale obligatoire en cours de validité. Chantiers basés sur Lyon ( grand déplacement ) Permis B souhaité Expérience récente souhaitée Visite médicale obligatoire en cours de validité Chantiers basés sur Lyon ( grand déplacement ) Permis B souhaité Expérience récente souhaitée L agence GERLAND INTERIM est implantée depuis 1972 au cœur de GERLAND. Nous intervenons dans des domaines variés BTP Industrie Environnement et Tertiaire à Lyon et sur les départements limitrophes.'
btp,'Répertorier les besoins par site Mettre en place un Plan de réduction de coûts de la famille pièces maintenance et accessoires Réduire le panel fournisseurs Assurer la mise en place le déploiement et le suivi des contrats cadre Optimiser la gestion organisationnelle sur site Vous êtes en Master 1 ou 2 spécialisé(e) en Achat. Vous êtes autonome rigoureux méthodique organisé(e) et aimez travailler en équipe. Une bonne maitrise d’Excel est indispensable. Durée : 1 an Des déplacements quotidiens sont à prévoir Le groupe déploie son savoir faire dans les secteurs du bâtiment et des travaux publics : adduction assainissement et traitement de l’eau réseaux urbains humides et secs aménagement urbain et de cimetières génie civil et infrastructure ferroviaire. Le groupe réalise un chiffre d’affaires d’environ 161 M€ en France et compte près de 1 200 collaborateurs.'
btp,'Sous l’autorité du responsable des certifications Vous assurez le secrétariat et assistez le responsable des certifications et le gestionnaire des certifications Vous avez les missions suivantes : L assistanat classique (accueil téléphonique courrier et mails réservations planning…) La gestion administrative des dossiers des candidats et des certifiés La gestion des sous traitants et fournisseurs (ordres de missions factures contrats…) La facturation et du suivi. La gestion des appels La gestion des services généraux Mission d interim suivi d un CDD ou CDI Poste immédiat De formationbac+2 vous justifiez d une expérience similaire dans le technique/ BTP Vous avez une expérience 7/9 ans et vous justifiez d une expérience dans le BTP et en PME Vous avez une excellente orthographe trés bonne maitrise du P.OFFICE Vous est trés à l aise au téléphone et savez travailler en équipe Mission d interim 3 mois Nous recherchons pour notre client organisme de qualification et de certification des entreprises dans le bâtiment un ASSISTANT ADMINISTRATIF H/F'
btp,'Nous recherchons un (e) ASSISTANTE de DIRECTION PROJET avec un anglais courant Au sein du département Ingénierie et sous l’autorité du Directeur Ingénierie vos tâches seront les suivantes : ** Assister le Directeur de SIng et ses principaux managers à Paris et à Bucarest. ** Organiser les déplacements (réservation hôtel billets d’avions démarches visas etc…) du personnel du département Ingénierie. ** Gérer le courrier (arrivée et départ). ** Etablir les commandes de matériel de fournitures de consommables et vérifier la conformité des livraisons. **. Assurer l interface avec les différents services du siège social et des filiales ** Gérer le calendrier de SADE Ingénierie sur Agenda la liste du personnel les congés etc... • Participer à l animation du site EpureNet de la communauté épuration du groupe • Participer à l animation du mini site web de Ingénierie en liaison avec la Direction Communication Marketing. • Emettre les devis d offres de prestations d Ingénierie et suivre la réception des commandes et des factures sur Gesade. MISSION DE 1+2 mois possibilite de CDI Formation en assistanat de type BAC+2. • Vous avez une première expérience professionnelle de 4/5 ans dans un poste similaire dans une société industrielle en mode projet • Excellente maitrise du Pack Office (Word Excel PowerPoint). • Votre Anglais est courant • Aisance rédactionnelle. • Réactivité initiative. Notre client est le spécialiste de la conception la construction la réhabilitation et l entretien des réseaux et des ouvrages qui leur sont associés pour ses clients publics industriels et privés'
btp,'En lien direct avec le directeur du cabinet d architectes vous aurez comme mission : L assistanat classique (diverses missions administratives gestion du téléphone des mails...) Un suivi comptable (suivi des chantiers facturation envoi de propositions reporting...) le domaine du BTP est un domaine dans lequel vous avez des connaissances De niveau bac+2 en secrétariat assistanat vous justifiez d une expérience d’au moins 3/4 ans au sein d’un poste similaire Le candidat devra maitriser les logiciels de bureautique (Pack Office) Bon niveau rédactionnel Poste à pourvoir EN URGENCE en CDD puis en CDI pour candidat motivé souhaitant s investir au sein d un poste polyvalent AI2L Recrutement est une Agence de Travail Temporaire et un Cabinet de Recrutement spécialisés dans le recrutement dans le domaine du bâtiment et des travaux publics. Nous recherchons pour l un de nos clients un cabinet d architecture : UN(E) ASSISTANT(E) ADMINISTRATIVE (H/F)'
